Fish_name_p,Bajau_genus,Bajau_spp_p1,Bajau_spp_p2,Ukuran,trip_id,Common_Name,Functional_Grp
Agogos,Agogos,,,13,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,13,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,11,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,8,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,10,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,12,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,13,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,13,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,11,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,8,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,7,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,10,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,12,1 30 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,15,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,30,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,26,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,16,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,16,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,24,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,24,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,21,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,20,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,16,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,15,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,15,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,14,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,13,10 24 PARJONO,raggedtooth parrotfish,herbivore
Agogos,Agogos,,,13,10 24 PARJONO,raggedtooth parrotfish,herbivore
