bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
agogos,raggedtooth parrotfish,parrotfish,Scarinae,Calotomus spp.,8541,Sept bright moon/Parjono (bad pic)
aha ang,red snapper,Red snapper,Lutjanidae,Lutjanus bohar,8543,Sept bright moon/Mustamin
ahaang,red snapper,Red snapper,Lutjanidae,Lutjanus bohar,8543,Sept bright moon/Mustamin
alalas,damselfish,Sergent major,Pomacentridae,Abudefduf vaigiensis,7160,June dark moon/Irwan
alalas nyuloh,damselfish,damselfish,Pomacentridae,Pomacentrus spp.,9138,Nov dark moon/Bagon
ampala,Titan triggerfish,titan triggerfish,Balistidae,Balistoides viridescens,8982,Oct bright moon/Asiri
ampala,Titan triggerfish,titan triggerfish,Balistidae,Balistoides viridescens,8982,Oct bright moon/Asiri
ampala,Titan triggerfish,titan triggerfish,Balistidae,Balistoides viridescens,8982,Oct bright moon/Asiri
andupeng,emperor,emperor,Lethrinidae,Lethrinus ornatus,7431,July dark moon/Jumatia
anggata,NA,NA,NA,NA,0,April bright moon/Mbili
angke,Bumphead parrotfish,Bumphead parrotfish,Scarinae,Bolbometopon muricatum,9076,Nov dark moon/Dahlan
baba,Onesport snapper,Blackspot snapper,Lutjanidae,Lutjanus ehrenbergii,2308,Sept bright moon/Sisun; photoID 8580
baba mira,Onesport snapper,Blackspot snapper,Lutjanidae,Lutjanus spp.,0,C
baba sirah kuneh,Onesport snapper,Blackspot snapper,Lutjanidae,Lutjanus spp.,0,C
babakal,Blotcheye soldierfish,Blotcheye soldierfish,Holocentridae,Myripristis spp.,8607,Sept bright moon/Lili
bagangan,Humpnose bigeye bream,bream,Lethrinidae,Monotaxis grandoculis,8555,Sept bright moon/Alwin
bagangang,Humpnose bigeye bream,bream,Lethrinidae,Monotaxis grandoculis,8555,Sept bright moon/Alwin
balomboh,small sardine,NA,NA,NA,0,no need
balubba,goatfish,goatfish,Mullidae,Parupeneus spp.,8579,Sept bright moon/Sisun; photoID 8579
balubba rambongang,goatfish,goatfish,Mullidae,Upeneus vittatus,7158,June dark moon/Mardi
bangaong,Unknown,NA,NA,NA,NA,
bangarda,Chequered snapper,Snapper,Lutjanidae,Lutjanus decussatus,4819,Jan dark moon/Mardi
banguntu,parrotfish,parrotfish,Scarinae,Leptoscarus vaigiensis,5966,March dark moon/Talo
banguntu parai,jobfish,NA,NA,NA,NA,
banguntu samo,parrotfish,parrotfish,Scarinae,Leptoscarus vaigiensis,5375,Feb dark moon/Tomi
bansa,silverbiddy,Silverbelly,Gerreidae,Gerres spp.,2332,no need
bansa tabali,silverbiddy,NA,NA,NA,0,no need
basse,Unknown,NA,NA,NA,NA,
basse parai,wrasse,Half-and-half wrasse,Labridae,Hemigymnus melapterus,8718,Oct dark moon/Sair
berani,smaller trevally,NA,NA,NA,0,
bese,cardinalfish,cardinalfish,Apogonidae,Cheilodipterus spp.,0,
beseh,cardinalfish,cardinalfish,Apogonidae,Cheilodipterus spp.,7176,June dark moon/Irwan
beseh garas,NA,NA,NA,NA,NA,
beseh lua mata,bigeye,bigeye,Priacanthidae,Priacanthus blochii,8603,Sept bright moon/Lili
beseh mira,NA,NA,NA,NA,NA,
birah saloka,rabbitfish,NA,NA,Siganus spp.,0,
birrah,rabbitfish,Gold-spotted rabbitfish,Siganidae,Siganus punctatus,8935,Oct bright moon/Alwin
birro,Aphareus furca,NA,NA,NA,0,
birro babi,Aphareus furca,Small-tooth jobfish,Lutjanidae,Aphareus furca,2357,
bokko,Yellowtail scad,scad,Carangidae,Atule mate,7168,June dark moon/Irwan
