bajau_name,common_name.x,family,species,photo_ID,fg,habitat,included,status
agogos,raggedtooth parrotfish,Scarinae,Calotomus spp.,8541,Browser,Reef,1,Sept bright moon/Parjono (bad pic)
aha ang,red snapper,Lutjanidae,Lutjanus bohar,8543,Piscivore,Reef,1,Sept bright moon/Mustamin
ahaang,red snapper,Lutjanidae,Lutjanus bohar,8543,Piscivore,Reef,1,Sept bright moon/Mustamin
alalas,damselfish,Pomacentridae,Abudefduf vaigiensis,7160,Planktivore,Reef,1,June dark moon/Irwan
alalas nyuloh,damselfish,Pomacentridae,Pomacentrus spp.,9138,2-Planktivore/3-Spongivore,Reef,1,Nov dark moon/Bagon
ampala,Titan triggerfish,Balistidae,Balistoides viridescens,8982,Macro-invertivore,Reef,1,Oct bright moon/Asiri
andupeng,emperor,Lethrinidae,Lethrinus ornatus,7431,Pisci-invertivore,Reef,1,July dark moon/Jumatia
anggata,NA,NA,NA,0,NA,NA,NA,April bright moon/Mbili
angke,Bumphead parrotfish,Scarinae,Bolbometopon muricatum,9076,Excavator/scraper,Reef,1,Nov dark moon/Dahlan
baba,Onesport snapper,Lutjanidae,Lutjanus ehrenbergii,2308,Pisci-invertivore,Reef,1,Sept bright moon/Sisun; photoID 8580
baba mira,Onesport snapper,Lutjanidae,Lutjanus spp.,0,Pisci-invertivore,Reef,1,C
baba sirah kuneh,Onesport snapper,Lutjanidae,Lutjanus spp.,0,Pisci-invertivore,Reef,1,C
babakal,Blotcheye soldierfish,Holocentridae,Myripristis spp.,8607,NA,Nocturnal,0,Sept bright moon/Lili
bagangan,Humpnose bigeye bream,Lethrinidae,Monotaxis grandoculis,8555,Macro-invertivore,Reef,1,Sept bright moon/Alwin
bagangang,Humpnose bigeye bream,Lethrinidae,Monotaxis grandoculis,8555,Macro-invertivore,Reef,1,Sept bright moon/Alwin
balomboh,small sardine,NA,NA,0,NA,NA,NA,no need
balubba,goatfish,Mullidae,Parupeneus spp.,8579,Macro-invertivore,Reef,1,Sept bright moon/Sisun; photoID 8579
balubba rambongang,goatfish,Mullidae,Upeneus vittatus,7158,Pisci-invertivore,Reef,1,June dark moon/Mardi
bangaong,Unknown,NA,NA,NA,NA,NA,NA,
bangarda,Chequered snapper,Lutjanidae,Lutjanus decussatus,4819,Pisci-invertivore,Reef,1,Jan dark moon/Mardi
banguntu,parrotfish,Scarinae,Leptoscarus vaigiensis,5966,Browser,Reef,1,March dark moon/Talo
banguntu parai,jobfish,NA,NA,NA,NA,NA,NA,
banguntu samo,parrotfish,Scarinae,Leptoscarus vaigiensis,5375,Browser,Reef,1,Feb dark moon/Tomi
bansa,silverbiddy,Gerreidae,Gerres spp.,2332,Micro-invertivore,Reef,0,no need
bansa tabali,silverbiddy,NA,NA,0,NA,NA,NA,no need
basse,Unknown,NA,NA,NA,NA,NA,NA,
basse parai,wrasse,Labridae,Hemigymnus melapterus,8718,Macro-invertivore,Reef,1,Oct dark moon/Sair
berani,smaller trevally,NA,NA,0,NA,NA,NA,
bese,cardinalfish,Apogonidae,Cheilodipterus spp.,0,Planktivore,Reef,1,
beseh,cardinalfish,Apogonidae,Cheilodipterus spp.,7176,Planktivore,Reef,1,June dark moon/Irwan
beseh garas,NA,NA,NA,NA,NA,NA,NA,
beseh lua mata,bigeye,Priacanthidae,Priacanthus blochii,8603,Pisci-invertivore,Reef,1,Sept bright moon/Lili
beseh mira,NA,NA,NA,NA,NA,NA,NA,
birah saloka,rabbitfish,NA,Siganus spp.,0,NA,NA,NA,
birrah,rabbitfish,Siganidae,Siganus punctatus,8935,Grazer,Reef,1,Oct bright moon/Alwin
birro,Aphareus furca,NA,NA,0,NA,NA,NA,
birro babi,Aphareus furca,Lutjanidae,Aphareus furca,2357,Piscivore,Pelagic,0,
bokko,Yellowtail scad,Carangidae,Atule mate,7168,NA,NA,0,June dark moon/Irwan
bukalang,Anchor tuskfish,Labridae,Choerodon anchorago,8709,Micro-invertivore,Reef,1,Oct dark moon/Udin
bulawwis,rabbitfish,Siganidae,Siganus spp.,8540,Grazer,Reef,1,Sept bright moon/Parjono (bad pic)
bulawwis karangan,rabbitfish,Siganidae,Siganus spinus,8960,Grazer,Reef,1,Oct bright moon/Dahalang
bulawwis sillah,rabbitfish,Siganidae,Siganus argenteus,8708,Grazer,Reef,1,Oct dark moon/Udin
bulealang,Bulealang,Labridae,Choerodon anchorago,8640,Micro-invertivore,Reef,1,Sept bright moon/Unyil.pdf; photoID 8640; I think this entry matches the name
buna,batfish,Ephippidae,Platax spp.,8939,NA,Pelagic,0,Oct bright moon/Bagong
buna sirah kunih,NA,NA,NA,NA,NA,NA,NA,
buna tatape,Moorish idol,Zanclidae,Zanclus cornutus,6505,Micro-invertivore,Reef,1,April dark moon/Super
cocoreng,Cocoreng,Ostraciidae,Lactoria cornuta,8832,Micro-invertivore,Reef,1,Oct brigh moon/Utee
dapa,paddletail snapper,Lutjanidae,Lutjanus gibbus,8597,Pisci-invertivore,Reef,1,Sept bright moon/Aco
dapa sumu,paddletail snapper,Lutjanidae,Lutjanus gibbus,0,Pisci-invertivore,Reef,1,
dayah,Trevally,Carangidae,Caranx spp.,8643,Piscivore,Pelagic,0,Sept bright moon/Unyil.pdf
dayah berani,Trevally,Carangidae,Caranx spp.,7619,Piscivore,Pelagic,0,July bright moon/Bagon
dayah buaya,Trevally,Carangidae,Caranx spp.,0,Piscivore,Pelagic,0,
dayah mea,Trevally,Carangidae,Caranx melampygus,2390,Piscivore,Pelagic,0,Sept brigh moon/Sisun; photoID 8582
dayah nyubba,trevally,Carangidae,Caranx spp.,2379,Piscivore,Pelagic,0,Sept brigh moon/Sisun; photoID 8583
dayah nyubba langoang,trevally,Carangidae,Caranx spp.,0,Piscivore,Pelagic,0,
