original_fg,new_fg
kaledupa,kaledupa
buli sapa,kaledupa atoll
toroh pangirikan,wangi-wangi
karang kapota,kapota atoll
kalungan,kapota island
batangan,wangi-wangi
karang kaledupa,kaledupa atoll
buku kapota,kapota island
depan kapota,kapota island
depan pelabuhan,wangi-wangi
karang tomia,tomia atoll
karang pakitta kaledupa,kaledupa atoll
kaukomba,wangi-wangi
usuno,kapota island
karang koromea,koromea atoll
gusoh padutaian,wangi-wangi
karang ombongan,kaledupa atoll
karang di ombongan,kaledupa atoll
belakang kapota,kapota island
pulau sumango,wangi-wangi
sapa kapota,kapota atoll
pulau masalokaan,wangi-wangi
sapa di ombongan,kaledupa atoll
alo wanci,wangi-wangi
otowe,wangi-wangi
karang di mbongan,kaledupa atoll
poon lampu,wangi-wangi
pulau otowe,wangi-wangi
karangke,wangi-wangi
alo numana,wangi-wangi
liyah,wangi-wangi
buli bintana,kaledupa atoll
karang garas,kaledupa atoll
matahora,wangi-wangi
korohpone,komponaone island
unknown,NA
toroh mbohaja haming,wangi-wangi
pulau liyah,wangi-wangi
alo kollo,kapota island
kapota,kapota island
liya,wangi-wangi
buli batangan,wangi-wangi
kampo ono one,komponaone island
karengke,wangi-wangi
sapa garaspayo (tomia),tomia
babade,wangi-wangi
tomia,tomia
kombaone,komponaone island
jabal,wangi-wangi
waelumu,wangi-wangi
