Bajau_Genus,Common_Name,Functional_Grp
Agogos,raggedtooth parrotfish,herbivore
Ahaang,red snapper,scavenger
Alalas,damselfish,planktivore
Ampala,Titan triggerfish,omnivore
Andupeng,Unknown,Unknown
Anggata,Unknown,Unknown
Angke,steephead parrotfish,herbivore
Baba,Onesport snapper,scavenger
Babakal,Blotcheye soldierfish,planktivore
Bagangan,Humpnose bigeye bream,benthic invertivore
Baguntu,jobfish,piscivore
Balomboh,small sardine,pelagic
Balubba,goatfish,benthic invertivore
Bangaong,Unknown,Unknown
Bangarda,Chequered snapper,scavenger
Banguntu,jobfish,piscivore
Bansa,silverbiddy,benthic invertivore
Basse Parai,Unknown,Unknown
Berani,smaller trevally,piscivore
Beseh,Blacktip grouper,benthic invertivore
Birrah,rabbitfish,herbivore
Birro Babi,Aphareus furca,scavenger
Bokko,Yellowtail scad,piscivore
Bonte,milkfish,planktivore
Bukalang,Anchor tuskfish,benthic invertivore
Bulawwis,rabbitfish,herbivore
Bulealang,Unknown,Unknown
Buna,big batfish,herbivore
Cocoreng,Unknown,Unknown
Cumi,Squid,Squid
Dapa,paddletail snapper,scavenger
Dayah Berani,smaller trevally,piscivore
Dayah Buaya,Trevally,piscivore
Dayah Nyubba,Trevally,piscivore
Dayah Nyubba Langoang,trevally,piscivore
Dayah Nyubba Nyuluh,trevally,piscivore
Dayah Tana,Unknown,Unknown
Dodoh,Surgeonfish,herbivore
Ekor Kuning,Caseio spp,planktivore
Epe,Filefish,omnivore
Guntur,jobfish,piscivore
Gurisa,pufferfish,omnivore
Ila,Chub,herbivore
Ingko,Caseio spp,planktivore
Jarah Gigi,Lizardfish,piscivore
Kalabutan,Unknown,Unknown
Kalempeda,Margined sole,benthic invertivore
Kalombe,blue trevally,piscivore
Kambule,dark-banded fusilier,planktivore
Karo'O,Pale monocle bream,benthic invertivore
Keapu,Grouper,piscivore
Kekea,foxface rabbitfish,herbivore
Keyba,Unknown,Unknown
Kokoreh,Crescent grunter,omnivore
Kongkeh,boxfish,omnivore
Kumai,unicornfish,herbivore
Kumbh Buaya,crocodile flathead,piscivore
Kurus,jobfish,piscivore
Kutamba,emperor,scavenger
Kutu,Yellowlip emperor,scavenger
Lambe,Lutjanus spp,scavenger
Lampa,Tripletail wrasse,benthic invertivore
Lamudo,Longspine emporer,scavenger
Langkoe,Napolean wrasse,benthic invertivore
Langoang,bluefin trevally,piscivore
Lansura,Lutjanus spp,piscivore
Lausu,Longface emporer,scavenger
Luppe Kuneh Boa,Striped sweetlips,scavenger
Luppe,Striped sweetlips,scavenger
Malelah,Trevally,piscivore
Mangali,Unknown,Unknown
Mangilala,Java Rabbitfish,planktivore
Mogoh,parrotfish,herbivore
Opa,Opa,Unknown
Palugandah,Cigar wrasse,benthic invertivore
Pangaluang,Great barracuda,piscivore
Papalo,Barracuda,piscivore
Pello,wrasse,benthic invertivore
Pepedo,Pepedo,Unknown
Pesari,Sea Robin,benthic invertivore
Pilangan,Halfbeak,omnivore
Pipili,Trevally,piscivore
Pogo,Triggerfish,omnivore
Popogo,Smaller triggerfish,omnivore
Pote,Unknown,Unknown
Rambeng,Neon fusilier,planktivore
Ruruma,Rainbow fusilier,planktivore
Sumpa,Lethrinus spp,benthic invertivore
Sasageh,Striped large-eye bream,benthic invertivore
Sualalah,Bald-spot monocle bream,benthic invertivore
Sulaiasah,Midnight snapper,scavenger
Sunu,Grouper,piscivore
Taboh,Unknown,Unknown
Taburoh,Boxfish,omnivore
Talunsu,Unknown,Unknown
Tambiro,Emperor,scavenger
Tape,Butterfly fish,coralivore
Tarigongoh,Unknown,Unknown
Taringan,Variola louti,piscivore
Tatape Buna,big batfish,herbivore
Tape,Butterfly fish,coralivore
Tatatape,Moorish idol,benthic invertivore
Tengiri,Narrow-barred Spanish mackerel,pelagic
Tibbo,Damselfish,planktivore
Timbaloah,Crocodile or keeltail needlefish,scavenger
Timbungang,manybar goatfish,detritivore
Tintah,Threeline monocle bream,benthic invertivore
Tittingan,Stripped eel catfish,benthic invertivore
Tomiga,Unknown,Unknown
Tonggol,Pelagic,Pelagic
Totoke,Unknown,Unknown
Tubbal,Harlequin sweetlips,benthic invertivore
Tuna,Pelagic,Pelagic
Turisan,saddletail snapper,carnivore
Ulapai,Parrotfish,herbivore
Ururuh,Rainbow runner,pelagic
