"","Var1","Freq"
"1","",568
"2","Agogos",447
"3","Aha Ang",71
"4","Alalas",22
"5","Alalas Nyuloh",5
"6","Ampala",102
"7","Anggata",2
"8","Angke",45
"9","Baba",109
"10","Baba Mira",1
"11","Baba Sirah Kuneh",8
"12","Babakal",602
"13","Bagangan",180
"14","Balomboh",1
"15","Balubba",240
"16","Balubba Rambongang",1
"17","Bangaong",1
"18","Bangarda",1
"19","Banguntu",53
"20","Banguntu Parai",1
"21","Banguntu Samo",4
"22","Bansa",409
"23","Bansa Tabali",2
"24","Basse Parai",1
"25","Berani",1
"26","Beseh",13
"27","Beseh Garas",1
"28","Beseh Lua Mata",73
"29","Beseh Mira",1
"30","Birah Saloka",1
"31","Birrah",69
"32","Birro",12
"33","Birro Babi",15
"34","Bokko",1
"35","Bonte",66
"36","Bukalang",170
"37","Bulawwis",1757
"38","Bulawwis Karangan",303
"39","Bulawwis Sillah",703
"40","Bulealang",2
"41","Buna",17
"42","Buna Sirah Kunih",2
"43","Buna Tatape",19
"44","Cocoreng",4
"45","Cumi Cumi",1
"46","Dapa",605
"47","Dapa Sumu",132
"48","Dayah",126
"49","Dayah Berani",1
"50","Dayah Buaya",2
"51","Dayah Mea",2
"52","Dayah Nyubba",312
"53","Dayah Nyubba Langoang",2
"54","Dayah Nyubba Nyuluh",2
"55","Dayah Tana",1
"56","Dodoh",223
"57","Dodoh Alo",10
"58","Dodoh Batu",96
"59","Dodoh Loong",1
"60","Dodoh Sirah Mira",13
"61","Dodoh Tambelo",3
"62","Ekor Kuning",5
"63","Epe",27
"64","Epe Sammo",1
"65","Guntur",68
"66","Gurisa",63
"67","Ila",15
"68","Ingko Kunih",20
"69","Jarah Gigi",5
"70","Kalabutan",2
"71","Kalempeda",4
"72","Kambule",34
"73","Karo'O",48
"74","Keapu",83
"75","Keapu Bandoka",4
"76","Keapu Biasa",2
"77","Keapu Bite Nyuloh",11
"78","Keapu Bitte Loong",2
"79","Keapu Bitte Mira",32
"80","Keapu Bitte Tibbo",4
"81","Keapu Buntar Tikolo",24
"82","Keapu Cambal",1
"83","Keapu Campur",38
"84","Keapu Campuran Ngeluhu",4
"85","Keapu Coklat",3
"86","Keapu Garas",3
"87","Keapu Goas",6
"88","Keapu Kuali",3
"89","Keapu Loong",68
"90","Keapu Loong Ngaluhu",10
"91","Keapu Malang",2
"92","Keapu Merah Campura",1
"93","Keapu Mira",46
"94","Keapu Mira Bitti",7
"95","Keapu Mira Sibbo",35
"96","Keapu Ngaluhu",45
"97","Keapu Nyarengelah",3
"98","Keapu Nyarengkeh",4
"99","Keapu Nyarengluh",3
"100","Keapu Poppokah",46
"101","Keapu Pote",2
"102","Keapu Sabit",1
"103","Keapu Setan",63
"104","Keapu Sibbo",204
"105","Keapu Sibbo Mirah",9
"106","Keapu Tallah",8
"107","Keapu Tiger",6
"108","Keapu Tongko",1
"109","Kekea",402
"110","Kekea Kuneh",16
"111","Kekea Langkau Boa",1
"112","Keyba",9
"113","Kokoreh",5
"114","Kongkeh",26
"115","Kumai",167
"116","Kumai Batu",49
"117","Kumai Sillah",2
"118","Kumai Tapesu",3
"119","Kumai Tarusan",9
"120","Kumai Ungko Kuneh",33
"121","Kumai Ungko Mira",12
"122","Kumbah Buaya",2
"123","Kurus Bali",3
"124","Kutamba",2668
"125","Kutamba Bannah",216
"126","Kutamba Mantirus",39
"127","Kutamba Sumpa",10
"128","Kutu",1
"129","Lambe",151
