,Var1,Freq
1,,1
2,agogos,8
3,Agogos,439
4,aha,71
5,Ahaang,1
6,alalas,5
7,Alalas,37
8,Ampala,99
9,ampalo,4
10,Andupeng,8
11,Anggata,2
12,Angke,47
13,baba,4
14,Baba,116
15,babakal,133
16,Babakal,497
17,bagangan,12
18,Bagangan,168
19,Bagangang,9
20,Baguntu,7
21,Balomboh,1
22,Balubba,253
23,Bangaong,1
24,Bangarda,1
25,Bangsa,41
26,banguntu,7
27,Banguntu,46
28,Bansa,370
29,Basse,2
30,Berani,1
31,Bese,8
32,beseh,14
33,Beseh,74
34,Besse,1
35,birah,1
36,Birrah,70
37,birro,23
38,Birro,2
39,bokko,1
40,Bonte,66
41,bukalang,8
42,Bukalang,166
43,Bulawwis,2799
44,Bulealang,2
45,Buna,39
46,Burro,4
47,cocoreng,4
48,Cumi,1
49,dapa,69
50,Dapa,678
51,dayah,63
52,Dayah,65
53,dayah berani,1
54,dayah buaya,2
55,Dayah nyubba,53
56,Dayah Nyubba,312
57,Dayah Nyubba Langoang,2
58,Dayah Nyubba Nyuluh,2
59,dayah tana,1
60,dodoh,4
61,Dodoh,345
62,Ekor,5
63,Epe,28
64,Guntor,3
65,Guntur,68
66,Gurisa,63
67,Ila,22
68,ingko,20
69,Jarah gigi,5
70,Kalabutan,2
71,Kalempeda,4
72,Kalombe,1
73,Kambule,36
74,karo'o,48
75,keapu,36
76,Keapu,760
77,kekea,26
78,Kekea,397
79,Keyba,9
80,Kokoreh,5
81,kongkeh,11
82,Kongkeh,15
83,kumai,63
84,Kumai,213
85,Kumbh,2
86,kuppe,1
87,Kurus,3
88,kutamba,199
89,Kutamba,2820
90,Kutu,1
91,Lambe,154
92,lampa,16
93,Lampa,202
94,Lamudo,1
95,Langkoe,9
96,Langoan,4
97,Langoang,66
98,Lansura,21
99,Lausu,108
100,leppe,2
101,luppe,8
102,Luppe,68
103,malelah,14
104,Malelah,60
105,mangali,1
106,mangialo,2
107,Mangilala,988
108,mangilalo,166
109,mogoh,68
110,Mogoh,1308
111,Opa,8
112,palugandah,9
113,Palugandah,11
114,Pangaluang,79
115,papalo,2
116,Papalo,71
117,pello,15
118,Pello,23
119,pepedo,4
120,Pesari,2
121,Pilangan,11
122,Pilangang,5
123,pipili,8
124,Pipili,73
125,pogo,19
126,Pogo,132
127,popogo,1
128,Pote,1
129,ramben,5
130,Ramben,21
131,Rambeng,27
132,Ruruma,35
133,Sampeh,4
134,sasageg,6
135,sasageh,14
136,Sasageh,5
137,Soalalah,6
138,sualala,29
139,Sualala,1
140,sualalah,58
141,Sualalah,6
142,Sulai,10
143,Sulaiasah,1
144,Sumpa,39
145,Sumpah,3
146,Sumpeh,1
147,sunu,20
148,Sunu,217
149,taboh,5
150,Taboh,1
151,taburoh,185
152,Taburoh,4
153,Talunsu,1
154,tambiro,1
155,Tambiro,111
156,tape,6
157,tarigongoh,9
158,taringan,20
159,Taringan,53
160,tatape,7
161,Tatape,140
162,tatatape,1
163,Tengiri,3
164,tibbo,41
165,Tibo,1
166,Timbaloah,23
167,timbungan,39
168,Timbungan,918
169,Timbungang,1
170,tintah,51
171,Tintah,514
172,Tittingan,1
173,Tomiga,3
174,Tonggol,7
175,Totoke,78
176,Tubbal,1
177,tuna,2
178,Turisan,9
179,Turisang,1
180,ulapai,47
181,Ulapai,613
182,Ururuh,6
