,Var1,Freq
1,,13864
2,Alo,10
3,alus,1
4,ang,71
5,Angke,19
6,Asah,10
7,babi,23
8,Babi,6
9,bali,3
10,balia,1
11,bambulo,2
12,Bandoka,4
13,Bannah,234
14,Bataan,112
15,bataang,1
16,batu,17
17,Batu,147
18,berani,1
19,biasa,2
20,Birrah,46
21,birro,2
22,bite,11
23,bitikan,1
24,bitte,14
25,Bitte,9
26,Bitti,25
27,Boa,1
28,borra,24
29,Borra,3
30,buaya,2
31,Buaya,2
32,bulan,1
33,buna,6
34,Buna,113
35,buntar,6
36,Buntar,24
37,Cambah,95
38,Cambal,1
39,Campur,38
40,Campuran,4
41,Cokelat,1
42,coklat,91
43,Cumi,1
44,Dodoh,5
45,dosa,1
46,epe,2
47,Gandah,1
48,garas,1
49,Garas,5
50,gigi,2
51,Gigi,3
52,Goas,6
53,gusoh,2
54,Hangilo,5
55,Hanyulu,15
56,hias,1
57,Hijau,13
58,Hitam,2
59,janggutan,9
60,Karangan,303
61,karupu,3
62,Koncang,1
63,Kuali,3
64,kuneh,10
65,Kuneh,67
66,kunih,20
67,Kunih,23
68,Kuning,5
69,Kutu,1
70,lampa,2
71,langkau,1
72,Langkau,5
73,lea,4
74,lela,1
75,Lelah,3
76,loong,67
77,Loong,265
78,lua,8
79,Lua,70
80,Lua mata,3
81,luamata,12
82,Malang,2
83,mantirus,39
84,Mata,1
85,mayor,12
86,Mea,2
87,Merah,1
88,mira,48
89,Mira,195
90,mondo,77
91,Mondo,225
92,Ngaluhu,45
93,Ngisirah,9
94,Nyarengelah,3
95,Nyarengkeh,4
96,Nyarengluh,3
97,nyubba,63
98,Nyubba,339
99,nyubbo,63
100,Nyubbo,1
101,Nyubboa,29
102,nyulloh,478
103,nyuloh,68
104,nyuluh,2
105,Nyuluh,10
106,Parai,4
107,Patoh,11
108,Pello,2
109,popokah,6
110,Poppokah,46
111,Pote,31
112,pungsu,8
113,punsu,2
114,rambayan,5
115,Rambongang,1
116,Sabit,1
117,saloka,1
118,Sammo,1
119,Samo,4
120,Sanio,6
121,Setan,63
122,Sibbo,213
123,sillah,759
124,Sillah,3
125,sirah,13
126,Sirah,49
127,Sirip,2
128,Summu,6
129,Sumpa,10
130,Sumu,132
131,Tabali,2
132,tallah,16
133,Tallah,22
134,tambelo,3
135,tana,1
136,Tandukang,1
137,Tapesu,3
138,Tarusan,56
139,Tarusang,1
140,Tatape,19
141,tiger,6
142,tongko,1
143,Tubbal,8
144,ungko,51
145,Zebra,1
