,Var1,Freq
1,,568
2,Agogos,447
3,Aha Ang,71
4,Alalas,22
5,Alalas Nyuloh,5
6,Ampala,98
7,Ampalo,4
8,Anggata,2
9,Angke,45
10,Baba,109
11,Baba Mira,1
12,Baba Sirah Kuneh,8
13,Babakal,602
14,Bagangan,180
15,Baguntu,7
16,Balomboh,1
17,Balubba,240
18,Balubba Rambongang,1
19,Bangaong,1
20,Bangarda,1
21,Bangsa,41
22,Banguntu,46
23,Banguntu Parai,1
24,Banguntu Samo,4
25,Bansa,368
26,Bansa Tabali,2
27,Basse Parai,1
28,Berani,1
29,Beseh,13
30,Beseh Garas,1
31,Beseh Lua Mata,70
32,Beseh Mira,1
33,Besseh Lua Mata,3
34,Birah Saloka,1
35,Birrah,69
36,Birro,12
37,Birro Babi,11
38,Bokko,1
39,Bonte,66
40,Bukalang,170
41,Bulawwis,1757
42,Bulawwis Karangan,303
43,Bulawwis Sillah,703
44,Bulealang,2
45,Buna,17
46,Buna Sirah Kunih,2
47,Buna Tatape,19
48,Burro Babi,4
49,Cocoreng,4
50,Cumi Cumi,1
51,Dapa,605
52,Dapa Sumu,132
53,Dayah,126
54,Dayah Berani,1
55,Dayah Buaya,2
56,Dayah Mea,2
57,Dayah Nyubba,312
58,Dayah Nyubba Langoang,2
59,Dayah Nyubba Nyuluh,2
60,Dayah Tana,1
61,Dodoh,223
62,Dodoh Alo,10
63,Dodoh Batu,96
64,Dodoh Loong,1
65,Dodoh Sirah Mira,13
66,Dodoh Tambelo,3
67,Ekor Kuning,5
68,Epe,27
69,Epe Sammo,1
70,Guntur,68
71,Gurisa,63
72,Ila,15
73,Ingko Kunih,20
74,Jarah Gigi,5
75,Kalabutan,2
76,Kalempeda,4
77,Kambule,34
78,Karo'O,48
79,Keapu,83
80,Keapu Bandoka,4
81,Keapu Biasa,2
82,Keapu Bite Nyuloh,11
83,Keapu Bitte Loong,2
84,Keapu Bitte Mira,9
85,Keapu Bitte Tibbo,4
86,Keapu Bitti Mirah,23
87,Keapu Buntar Tikolo,24
88,Keapu Cambal,1
89,Keapu Campur,38
90,Keapu Campuran Ngeluhu,4
91,Keapu Cokelat,1
92,Keapu Coklat,2
93,Keapu Garas,3
94,Keapu Goas,6
95,Keapu Kuali,3
96,Keapu Loong,68
97,Keapu Loong Ngaluhu,5
98,Keapu Loong Nyaluhu,5
99,Keapu Malang,2
100,Keapu Merah Campura,1
101,Keapu Mira,46
102,Keapu Mira Bitti,7
103,Keapu Mira Sibbo,35
104,Keapu Ngaluhu,45
105,Keapu Nyarengelah,3
106,Keapu Nyarengkeh,4
107,Keapu Nyarengluh,3
108,Keapu Poppokah,46
109,Keapu Pote,2
110,Keapu Sabit,1
111,Keapu Setan,63
112,Keapu Sibbo,204
113,Keapu Sibbo Mirah,9
114,Keapu Tallah,8
115,Keapu Tiger,6
116,Keapu Tongko,1
117,Kekea,402
118,Kekea Kuneh,16
119,Kekea Langkau Boa,1
120,Keyba,9
121,Kokoreh,5
122,Kongkeh,26
123,Kumai,167
124,Kumai Batu,49
125,Kumai Sillah,2
126,Kumai Tapesu,3
127,Kumai Tarusan,9
128,Kumai Ungko Kuneh,33
129,Kumai Ungko Mira,12
130,Kumbah Buaya,2
131,Kuppe,1
132,Kurus Bali,3
133,Kutamba,2668
134,Kutamba Bannah,216
135,Kutamba Mantirus,39
136,Kutamba Sumpa,10
137,Kutu,1
138,Lambe,151
139,Lampa,128
140,Lampa Dosa,1
